Organization Name,Organization Name URL,Estimated Revenue Range,IPO Status,Operating Status,Acquisition Status,Company Type,Number of Employees,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
Penten,https://www.crunchbase.com/organization/penten,$1B to $10B,Private,Active,,For Profit,101-250,"Penten is creating new globally unique capabilities and opportunities for growth, disrupting old defense industry models.  By forming deep relationships Penten has been able to align its purpose with the common and special needs of our government global customers.  We focus on the user mission, making them safer, more connected and more effective. Penten is creating and delivering new secure mobility technologies to help government build a connected and integrated security workforce for the next 20 years of national security needs. Penten is delivering capabilities using Artificial Intelligence to identify, disrupt and trap digital adversaries. Applying these technologies to both strategic cyber and electronic warfare missions. Penten has grown from 4 to 65 people in the last 3 years, has been internationally recognised for its technology, exports to 3 nations and was named Australian Business of the Year.","Artificial Intelligence (AI), Cyber Security, Electronics, Government, Information Technology, Military, National Security, Network Security, Software","Canberra, Australian Capital Territory, Australia","Penten helps the digital transformation of defence & government - creating, building & operating new cyber tech for the modern workforce.","39,319"
AMD,https://www.crunchbase.com/organization/amd,$10B+,Public,Active,Made Acquisitions,For Profit,10001+,"Advanced Micro Devices (AMD) is a semiconductor company that designs and develops graphics, processors, and media solutions for both commercial and consumer markets. focuses on innovations related to gaming technologies, surround computing, Pro graphics technologies, enhanced media, business technologies, server technologies, embedded technologies, security technologies, and mobility technologies.","Artificial Intelligence (AI), Cloud Computing, Computer, Embedded Systems, GPU, Hardware, Semiconductor","Santa Clara, California, United States","Advanced Micro Devices is a semiconductor company that designs and develops graphics units, processors, and media solutions.","39,656"
Nile AI,https://www.crunchbase.com/organization/nile-ai,$1B to $10B,Private,Active,,For Profit,Nov-50,"Nile is an independent company that seeks to improve care for people living with epilepsy, their caregivers, and healthcare providers. The company is on a mission to make the journey of every epilepsy patient predictable. Its digital epilepsy care management platform will provide tools for people living with epilepsy and providers to progress to data-driven, personalized care. Nile is a collaboration-driven organization and is welcoming partners in this mission.","Artificial Intelligence (AI), Health Care, Home Health Care, Software","Sherman Oaks, California, United States","Nile AI specializes in the fields of neurology, health-tech, data science, engineering, and communication.","40,127"
ExpressSteuer,https://www.crunchbase.com/organization/expresssteuer,$1B to $10B,Private,Active,,For Profit,51-100,ExpressSteuer is building AI-powered software that simplifies and automates the process of filing a german tax return which is considered to be the most complex and complicated in the world.,"Artificial Intelligence (AI), Financial Services, FinTech, Legal Tech, Software","Hamburg, Hamburg, Germany",AI-powered software automating the process of filing a german tax return,"40,139"
Contilio,https://www.crunchbase.com/organization/contilio,$1B to $10B,Private,Active,,For Profit,Nov-50,"Contilio is the built world's #1 Insight Platform, delivering millions in CO2, Cost, FTE and Time saving for general contractors, asset owners and real estate developers globally. Our unique 3D AI technology delivers actionable, timely, and connected insights from 3D site data (Laser Scans and 360-photos) in hours, fully automating quantity/progress, installation quality and CO2 tracking/optimization for all structural, architectural, MEP/service elements, across all asset types and complexity levels. This empowers our customers to make timely decisions, proactively manage risks/issues, and significantly reduce errors, rework costs and waste/CO2. This is in addition to hugely reduced construction delay, handover duration, man-hour, and time to profit/cashflow enabled by our intelligent digital twins that connect AI insights, augmented BIM, updated schedule, intelligent as-built data, risks/issues, etc. throughout construction & operations. Contilio is a step change from ‘reality capture and visualization tools’ to ‘intelligent insights, connected data and faster, cheaper, CO2 efficient construction and operations’, arming our customers with a 10X competitive edge in the generative-AI era for the  $300 Trn built environment!","Analytics, Artificial Intelligence (AI), CleanTech, Commercial Real Estate, Computer Vision, Construction, Machine Learning, SaaS","London, England, United Kingdom",Contilio is the built world’s first 3D AI platform providing fully automated and scalable analytics & insights in hours from 3D site data.,"40,470"
Game.tv,https://www.crunchbase.com/organization/game-tv,$1B to $10B,Private,Active,,For Profit,51-100,"Game.tv is a mobile eSports platform powered by AI that automates tournaments in new and existing communities. Gamers with strong track records of building mobile games lead Game.tv. Its core product, Tourney, is an AI-powered eSports assistant that can run tournaments from start to finish. Game.tv was founded in 2018 and is based in Campbell, California, United States.","Artificial Intelligence (AI), eSports, Gaming, PC Games","Campbell, California, United States",Game.tv is a mobile eSports platform that automates tournaments in new and existing communities.,"40,489"
Cognizer,https://www.crunchbase.com/organization/cognizer,$1B to $10B,Private,Active,,For Profit,Nov-50,"Cognizer is a software company that specializes in deep-learning powered Natural Language Intelligence. It is named as the world's first ""Corporate Brain"". It uses advanced deep-learning Natural Language Intelligence AI to will forever change how business knowledge is captured, retained and disseminated throughout the Augmented Enterprise. It was founded in 2018 and is headquartered in Livermore, California with a development center in Bangalore, India.","Artificial Intelligence (AI), Machine Learning, Software, Software Engineering","Livermore, California, United States",Cognizer is a software company that specializes in deep-learning powered Natural Language Intelligence.,"40,926"
Reduct,https://www.crunchbase.com/organization/reduct,$1B to $10B,Private,Active,,For Profit,10-Jan,"Reduct is an AI-powered cloud video platform that aims to allow for richer human communication. The company is led by Prabhas Pokharel and Robert Ochshor, based in San Francisco.","Artificial Intelligence (AI), Machine Learning, Software, Video","San Francisco, California, United States",Reduct is an AI-powered cloud video platform that aims to allow for richer human communication.,"41,070"
Soar,https://www.crunchbase.com/organization/soar-5200,$1B to $10B,Private,Active,,For Profit,Nov-50,"As the world's top ai powered human development platform, our mission is to uplift humanity, unleashing and maximizing every person's strengths, helping them reach their full potential.","Artificial Intelligence (AI), Consulting, E-Commerce Platforms, Education, Software","Provo, Utah, United States",AI powered human development platform,"41,145"
Exeevo,https://www.crunchbase.com/organization/indegene-omnipresence,$1B to $10B,Private,Active,Was Acquired,For Profit,101-250,"Exeevo provides a unified, intelligent, agile digital ecosystem built with the entire Microsoft Business Applications stack including Dynamics 365, Power Platform, Azure, and Teams, as well as the Microsoft Cloud for Healthcare. Exeevo platforms are verticalized for life sciences with use cases for customer and patient engagement, operations, productivity, and personalization.","Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Life Science, Medical Device, Pharmaceutical","New York, New York, United States",Revolutionizing customer and patient Experiences with modern technology for life sciences organizations.,"41,337"
DOKKA,https://www.crunchbase.com/organization/dokka,$1B to $10B,Private,Active,,For Profit,51-100,"The Future of Accounting Automation. DOKKA automates your entire invoice processing workflow using proprietary technology, eliminating bottlenecks and liberating you from repetitive, manual work.  Seamlessly Integrated With Your Accounting System. Whether you’re using a well-known ERP or a lesser known accounting system, DOKKA integrates into any tech stack. Directly integrated (2-way) with all major accounting ERP platforms. Done-for-you and done-with-you API integrations. Deploys in just 7-14 days.","Artificial Intelligence (AI), Bookkeeping and Payroll, Document Management, Enterprise Software, FinTech, Information Services, Machine Learning, Productivity Tools, SaaS, Software","Tel Aviv, Tel Aviv, Israel","DOKKA supercharges your accounts payable with automated invoice processing, approval workflows and 3-way matching.","41,459"
Sensative,https://www.crunchbase.com/organization/sensative-ab,$1B to $10B,Private,Active,,For Profit,Nov-50,"In the era of digitalization, property owners like cities, utility and real estate companies as well as industries need to reclaim the ownership of data to become datadriven and effectively implement automation and processes to stay competitive and offer value services to customers, tenants and citizens. Yggio is our FIWARE compliant platform that transforms both business models and the tech architecture in any smart domain from many vertical functions to a horizontal model with a coherent infrastructure managed by Yggio and 1000's of data-driven services connecting to our API. Transforming smart cities and other smart domains just as in a similar way as Android did with smart phones. Yggio acts as a middleware and provide a single API to the city/building connecting all sensors, actuators, control systems and other data sources,  acting as an access broker towards users and service providers. Yggio also store and process the data with AI and ""IFTT"" rules.  Our customers include real estate companies, cities, energy providers, city network operators, water operators, shipping companies, farmers and even golf courses. All eager to take ownership of their own digitalization. Sensative has also a portfolio of very discreet wireless sensors for property control with a superior battery life of 10 years or more.  The sensors are marketed under the brand name Strips and can monitor doors/windows, temperature, ambient light, humidity, water leakage, occupancy and more, and they support Z-Wave, ZigBee and LoRaWAN protocols.","Artificial Intelligence (AI), Big Data, Cloud Data Services, Industrial Automation, Internet of Things, Machine Learning, Sensor, Smart Building, Smart Cities, Smart Home","Lund, Skane Lan, Sweden","Disruptive IoT, cloud & AI technology empowering smart property owners in the digitalization of properties and industrial processes.","42,032"
Saidot,https://www.crunchbase.com/organization/saidot,$1B to $10B,Private,Active,,For Profit,Nov-50,Saidot is an AI governance and alignment company helping enterprises build safe AI-driven businesses. Saidot’s AI governance SaaS platform is used by major public and private organisations to apply systematic AI governance and to communicate transparently about their AI.,"Artificial Intelligence (AI), Machine Learning, SaaS","Helsinki, Southern Finland, Finland",Platform for AI Governance,"42,140"
Veracity Protocol,https://www.crunchbase.com/organization/veracity-protocol,$1B to $10B,Private,Active,,For Profit,Nov-50,"The Standard of Trust for Physical Objects – Protect anything with Vision AI. Using a smartphone, you can identify, authenticate, and track anything by creating a non-invasive code that represents an object's unique material structure. It is impossible to breach or tamper with. Services: 1/ Identification – Automatically generate a non-invasive code to identify your products. Track anything with smartphone integration. No stickers, tags, nothing required. Works anywhere, anytime.  2/ Authentication – Authenticate your products with the highest accuracy. Avoid counterfeits and regulatory non-compliance. It's 100% immutable and invisible. Powered by your smartphone & cloud.  3/ Inspection – Monitor the integrity of your products on a microstructure level. Minimal costs, ultra-scalable, and no special hardware required. Just use the pure code secured by Vision AI. 4/ Tokenization – Create an immutable link between the physical product and the blockchain record, such as the source code or NFT, to secure ownership and ensure authenticity with a smartphone.","Artificial Intelligence (AI), B2B, Computer Vision, Information Technology, SaaS, Security","New York, New York, United States",The Standard of Trust for Physical Objects – Protect anything with Vision AI,"42,276"
InTone,https://www.crunchbase.com/organization/intone,$1B to $10B,Private,Active,,For Profit,Nov-50,"InTone offers a personalized AI accent neutralization technology, on a mission to improve communication around the globe. With the global trend of outsourced customer support, InTone brings the quality of offshore customer support calls to a new level. By enhancing understanding between call center agents and customers, companies can reduce the need for language training, while processing more calls and improving customer satisfaction.","Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Software","San Francisco, California, United States",InTone facilitates international communication by doing real-time accent enhancement,"42,524"
Expertrons,https://www.crunchbase.com/organization/expertrons,$1B to $10B,Private,Active,,For Profit,51-100,"Expertrons is an AI-based video bot platform created to help students and professionals with their career management and goals. This bot platform offers expert recommendations that help users to land their dream jobs, internships, or management schools. The company was founded in 2019 and is headquartered in Mumbai, Maharashtra, India.","Artificial Intelligence (AI), Career Planning, E-Learning, Robotics, Training","Mumbai, Maharashtra, India",Expertrons is an AI-based video bot platform created to help students and professionals with their career management.,"42,601"
Pensa Systems,https://www.crunchbase.com/organization/pensa-systems,$1B to $10B,Private,Active,,For Profit,101-250,"Pensa is a leading innovator in changing the way brands and retailers manage retail shelf inventory. Pensa’s data-as-a-service portfolio and use of advanced computer vision and artificial intelligence enable CPG brands and retailers to reduce stockouts and boost revenues by delivering highly accurate real-time visibility of the store shelf at a fraction of the cost of other solutions. Pensa partners with top CPG brands and retailers globally, including Johnson & Johnson, General Mills, Anheuser-Busch InBev, Circle K, and Unilever to address a trillion-dollar “blind spot” at a critical time in the industry.","Artificial Intelligence (AI), Computer, Information Technology, Machine Learning, Retail, Retail Technology, Robotics, Software","Austin, Texas, United States",The Source of Truth for the Retail Shelf,"42,630"
,https://www.crunchbase.com/organization/plus-music,$1B to $10B,Private,Active,,For Profit,Nov-50,Next generation music platform providing AI-powered music features like adaptivity for increased immersion and personalization.,"Artificial Intelligence (AI), Music, Software, Video Games","San Diego, California, United States",,"42,892"
Hi Platform,https://www.crunchbase.com/organization/hi-platform,$1B to $10B,Private,Active,Made Acquisitions,For Profit,101-250,"Hi Platform is a service platform that enables companies to build better relationships with their customers.  The company was founded in 2017 and is based in Blumenau, Santa Catarina, Brazil.","Artificial Intelligence (AI), Chatbot, Customer Service, Enterprise Software, Messaging, Social Media, Ticketing, Virtual Assistant","São Paulo, Sao Paulo, Brazil",Hi Platform is a service platform that enables companies to build better relationships with their customers.,"42,924"
Postie,https://www.crunchbase.com/organization/postie-aff3,$1B to $10B,Private,Active,,For Profit,101-250,"Postie offers automated marketing tools for direct mail marketing. With real-time attribution & data visualization, Postie delivers Artificial Intelligence, Machine Learning and Campaign Management tools to dynamically optimize your entire DM channel strategy. Re-engage with your customers: Easily create highly segmented CRM campaigns blending purchase and behavioral data for maximum performance. Retarget your prospective customers: Use your online and mobile data to identify highly engaged prospects and deploy daily trigger campaigns. Locate new customers with high ROAS Prospecting campaigns: Build look-a-like audiences that self-optimize into response models using real-time conversion data.","Advertising, Artificial Intelligence (AI), Machine Learning, Marketing","Los Angeles, California, United States",Postie offers automated marketing tools for direct mail marketing.,"43,149"
OnLoop,https://www.crunchbase.com/organization/onloop-pte-ltd,$1B to $10B,Private,Active,,For Profit,Nov-50,"OnLoop is the fast and easy-to-use AI app that gives your team superior performance.  It makes it easy to set measurable goals, and motivates team members to share wins and setbacks in real time, and data on motivation levels and goal progress is tracked in a beautiful dashboard, making it easy to show stakeholders your team is killing it.","Analytics, Artificial Intelligence (AI)","Singapore, Central Region, Singapore",OnLoop is the fast and easy-to-use AI app that gives your team superior performance.,"43,590"
Atinary,https://www.crunchbase.com/organization/atinary,$1B to $10B,Private,Active,,For Profit,Nov-50,,"Artificial Intelligence (AI), Machine Learning, Software","Lausanne, Vaud, Switzerland","Atinary is an end-to-end AI, machine learning, robotics, and cloud computing technology platform for digitizing R&D operations.","43,874"
unique.ai,https://www.crunchbase.com/organization/unique-ai,$1B to $10B,Private,Active,,For Profit,51-100,Unique.ai is the conversational technology platform providing immediate and personalized engagement between candidates and employers. Unique.ai manages your applicant pipeline while you engage with your most qualified candidates.,"Artificial Intelligence (AI), Computer, Software","San Francisco, California, United States",AI recruiting platform for high volume frontline jobs,"43,876"
Facenote,https://www.crunchbase.com/organization/facenote,$1B to $10B,Private,Active,,For Profit,10-Jan,Face Token is the first NFT that stores your customer’s biometric identity in the blockchain.Enhance your in-store customers experiences by providing an exclusive access to a world of digital opportunities.,"Artificial Intelligence (AI), Biometrics, Blockchain, Facial Recognition, Logistics, Payments","Middletown, Delaware, United States","We are building the decentralized face recognition experience of the future, today.","44,022"
Fiskl AI Accounting,https://www.crunchbase.com/organization/fiskl-limited,$1B to $10B,Private,Active,,For Profit,Nov-50,"Fiskl is AI-powered, modern accounting software, built for small business owners and their teams. Through our mobile and web platform, we seamlessly unite all financial operations into one intuitive app, encompassing invoicing, payments, expenses, banking and more. Backed by our proprietary AI technology, Fiskl simplifies and automates accounting reconciliation, delivering hundreds of hours back into the hands of SMEs each year. Fiskl also offers embedded global accounting technology to financial infrastructure platforms, global payment providers, banks and more. Embedded accounting brings together all customer financial data in a fully reconciled format to a standard chart of accounts, the last piece of the financial data puzzle for major B2B financial ecosystem players.","Accounting, Artificial Intelligence (AI), B2B, Finance, Mobile, SaaS, Small and Medium Businesses","London, England, United Kingdom",AI-powered global financial management and accounting platform - reinventing the financial stack for small businesses,"44,091"
Visor.ai,https://www.crunchbase.com/organization/visor-ai,$1B to $10B,Private,Active,,For Profit,51-100,Visor.ai is the Conversational AI Platform for non-technical Customer Service teams. Its ease of use empowers your company from day one.,"Artificial Intelligence (AI), Customer Service, InsurTech, Machine Learning, Software","Lisbon, Lisboa, Portugal",Visor.ai is an information technology company that provides customer service automation.,"44,093"
WINT,https://www.crunchbase.com/organization/wint-wi,$1B to $10B,Private,Active,,For Profit,51-100,"WINT - Water Intelligence developing advanced solutions for smart water management and control. The company detects and stops leaks at the source using Artificial Intelligence. It is used in commercial and industrial facilities, offices, homes, and apartments. It also prevents water damage caused by leaks, broken pipes or malfunctioning water systems. WINT customers gain deep insights about their water use to identify water waste and reduce consumption by 25%. They manage water and detect leaks using artificial intelligence and pattern matching technologies, combining high accuracy metering with advanced data analytics. WINT solutions protect global real estate portfolios and homes by revealing leaks and identifying water savings opportunities. WINT was founded in 2011 and is headquartered in New York, USA.","Analytics, Artificial Intelligence (AI), Construction, Machine Learning, Software, Sustainability, Water","Rosh Ha'ayin, HaMerkaz, Israel","WINT is a water intelligence system that helps save water, reduce consumption, and prevent water leaks.","44,214"
Alex Therapeutics,https://www.crunchbase.com/organization/alex-therapeutics,$1B to $10B,Private,Active,,For Profit,Nov-50,"Alex Therapeutics, a digital therapeutics company, is changing the way clinicians provide support for patients to change unwanted habits leading to poor medical outcomes. Our proprietary AI-platform is used as the basis when we develop CE-marked software medical devices (Class I) apps for a variety of therapeutic areas.","Artificial Intelligence (AI), Assistive Technology, Health Care, Medical, Personal Health, Software, Therapeutics","Stockholm, Stockholms Lan, Sweden","AI digital CBT therapeutic platform - changing habits, changing health","44,465"
Segments.ai,https://www.crunchbase.com/organization/segments-ai,$1B to $10B,Private,Active,,For Profit,10-Jan,Deep learning-fueled labeling technology for images and videos with a focus on instance and semantic segmentation with a mission to automate image labeling. Supporting predictive labeling and active learning workflows on large-scale datasets.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Deep learning-fueled labeling technology for images and videos with a focus on instance and semantic segmentation on large-scale datasets,"45,053"
The PS Collective,https://www.crunchbase.com/organization/the-ps-collective,$1B to $10B,Private,Active,,For Profit,Nov-50,"The PS Collective offers products including accessories, activewear, bodysuits and jumpsuits, dresses, handbags and pouches, jackets and blazers, jeans, jewelry, lingerie, sleep, lounge, outerwear, pants, shirts and blouses, and skirts. socks and hosiery, sweaters, swimwear, and tops.","Artificial Intelligence (AI), E-Commerce, Fashion, Machine Learning, Marketplace","Brooklyn, New York, United States",The PS Collective is a AI-powered marketplace for women to find clothing that fits and flatters.,"45,923"
WEARFITS,https://www.crunchbase.com/organization/wearfits,$1B to $10B,Private,Active,,For Profit,10-Jan,"WEARFITS is developing an AI & AR-powered SaaS platform to help 2 million e-commerce fashion businesses reduce return rates and offer their clients a better remote shopping experience with generative AI virtual try-ons and size fitting solutions, available globally through shopping platforms.","Artificial Intelligence (AI), Augmented Reality, B2B, E-Commerce Platforms, Fashion, Generative AI, SaaS","Kraków, Malopolskie, Poland",AI SaaS to help 2M fashion retailers reduce returns and enhance UX with virtual try-ons via global e-commerce platforms.,"45,964"
Renovai,https://www.crunchbase.com/organization/renovai-inc,$1B to $10B,Private,Active,,For Profit,Nov-50,"Renovai is an AI-based interior design platform that powers a custom shopping experience for furniture e-commerce retailers. Its platforms enable customers to complete a short questionnaire regarding their needs, requirements, and taste, and the company's system designs the space and visualizes it in a 3D lifelike model.","Artificial Intelligence (AI), Data Center Automation, Interior Design, Machine Learning, Software","Brooklyn, New York, United States",Renovai is an AI-based designer platform that powers a custom shopping experience for lifestyle brands.,"46,211"
Skelter Labs,https://www.crunchbase.com/organization/skelter-labs,$1B to $10B,Private,Active,,For Profit,51-100,"When the demand for Conversational AI emerges, We are committed to ensuring a seamless integration process. In an era where digital transformation is intensifying, the indispensability of support from AI professionals is more pronounced than ever. While AI harbors remarkable potential, the introduction of such technologies into a business may falter without the expert guidance and industry-specific know-how. In this context,  Skelter Labs synergises the expertise of AI professionals  with state-of-the-art technology  to unlock the boundless potential of enterprises and aims to lead at the forefront of the industry. - Skelter Labs' products - a culmination of years of dedicated research and development. * BELLA QNA: An enterprise data + LLM QNA Chatbot * BELLA LLM: An exclusive LLM only for enterprise (on-premises setup) * AIQ+ Chat: A task-oriented LLM chatbot builder * AIQ+ Speech: STT / TTS solutions * AIQ+ Answer: A MRC search assistant","Artificial Intelligence (AI), Information Technology, Machine Learning, Natural Language Processing, Software, Virtual Assistant","Seoul, Seoul-t'ukpyolsi, South Korea",Empowering Enterprise with LLM Technology,"46,319"
CellChorus,https://www.crunchbase.com/organization/cellchorus,$1B to $10B,Private,Active,,For Profit,10-Jan,"CellChorus provides a comprehensive, dynamic analysis of single cells for biopharmaceutical companies. The company’s TIMING™ platform applies visual AI to evaluate cell activation, killing and movement as a function of time in order to maximize our understanding of the cellular function, state, and phenotype of immuno-oncology and other therapies.","Analytics, Artificial Intelligence (AI), Biopharma, Biotechnology, Life Science","South San Francisco, California, United States","CellChorus applies visual AI to evaluate how individual cells move, behave, and interact.","46,360"
Jaid,https://www.crunchbase.com/organization/opsmatix,$1B to $10B,Private,Active,,For Profit,Nov-50,Jaid is an artificial intelligence-powered platform that identifies and extracts critical data from various company and customer communications.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","London, England, United Kingdom",Jaid is an artificial intelligence-powered platform that identifies and extracts critical data.,"46,382"
Baykar,https://www.crunchbase.com/organization/baykar,$1B to $10B,Private,Active,Made Acquisitions,For Profit,1001-5000,"Baykar specializes in providing UAV systems, unmanned air systems, and artificial intelligent services for the automotive industry.","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Manufacturing","Istanbul, Istanbul, Turkey","Baykar specializes in providing UAV systems, unmanned air systems, and artificial intelligent services for the automotive industry.","46,575"
EpicVIN,https://www.crunchbase.com/organization/epicvin,$1B to $10B,Private,Active,,For Profit,Nov-50,"Since its inception in 2012, EpicVIN has become synonymous with technological advancement in the automotive industry. Offering a multi-pronged approach to the automotive ecosystem, the company has made significant strides in ensuring safer, more informed, and smarter transactions for all stakeholders. 1. Comprehensive Vehicle History Reports: As an NMVTIS-approved data provider, EpicVIN has established its reputation by delivering in-depth vehicle history reports. Their commitment lies in safeguarding consumers from potential frauds and hazardous vehicles, ensuring a transparent and informed buying decision. With the objective of minimizing risk and deception in the automotive world, these reports cater to anyone looking to make a secure and educated vehicle purchase. 2. Empowering Individual Buyers: EpicVIN goes beyond just providing information; it actively facilitates the sale of cars to individuals, ensuring they're equipped with the knowledge needed for a safe and satisfactory purchase. 3. AI-Driven Solutions for Dealers: Recognizing the challenges faced by dealers in inventory selection, EpicVIN has pioneered AutoSelect Pro. Powered by AI and deep data analysis, this tool is set to revolutionize inventory decisions. With capabilities like recognizing potential bestsellers, hastening the vehicle selection time, and optimizing resource allocation, it's a game-changer for dealerships aiming to maximize profitability and efficiency. With a forward-thinking approach and a commitment to harnessing technology for better automotive transactions, EpicVIN is not just another player in the industry – it's a trendsetter. Whether you're an individual buyer, a seller, or a dealership, EpicVIN promises a future where every decision is data-driven, every transaction is transparent, and every vehicle meets the gold standard of quality. Join the future of automotive tech with EpicVIN.","Artificial Intelligence (AI), Automotive, Database, Service Industry","North Miami Beach, Florida, United States","EpicVIN merges vehicle history reporting, car sales, and AI-powered tools to revolutionize the automotive industry.","46,873"
Potential Motors,https://www.crunchbase.com/organization/potential-motors,$1B to $10B,Private,Active,,For Profit,Nov-50,"Potential Motors is using computer vision to enable vehicles to go anywhere. They have built software that works with a variety of cameras to analyze off and on-road terrain in real-time which is then used in the vehicle to change traction and suspension settings to improve performance and efficiency. They are currently working with OEMs in Motorcycles, Powersports, Defence, and Automotive to trial their technology.","Artificial Intelligence (AI), Automotive, Electric Vehicle, Embedded Systems, Mining Technology, Recreational Vehicles","Fredericton, New Brunswick, Canada",Potential Motors builds computer vision software to enable vehicles to go anywhere.,"47,874"
Huma,https://www.crunchbase.com/organization/medopad,$1B to $10B,Private,Active,Made Acquisitions,For Profit,101-250,"Huma is a global health technology company that provides a modular platform to support digital 'hospitals at home' across different disease areas. Its platform combines predictive algorithms, digital biomarkers, and real-world data to advance proactive, predictive care and research. The company's technology integrates data from hospital databases, patient wearables, and mobile devices to provide real-time information to healthcare providers.","Artificial Intelligence (AI), Health Care, mHealth, SaaS","London, England, United Kingdom",Huma offers a health platform used for remote patient monitoring and biological data gathering for preventative healthcare.,"47,895"
SomaDetect,https://www.crunchbase.com/organization/somadetect,$1B to $10B,Private,Active,,For Profit,Nov-50,"SomaDetect is the world’s premier machine learning and artificial intelligence company in dairy. SomaDetect provides real-time, automated analysis of milk quality without any addition of chemicals or consumables. The company measures every compound of interest in raw milk, enabling farmers to identify issues early, manage reproduction, reduce unnecessary antibiotic usage, and ensure that only the highest-quality milk makes it into bulk milk supplies. Founded in 2016, SomaDetect provides dairy farmers with information about herd health and milk quality, where and when they need it most.","AgTech, Analytics, Artificial Intelligence (AI), Internet of Things, Machine Learning","Thornhill, Ontario, Canada",SomaDetect provides dairy farmers with the information they need to produce the best possible milk.,"48,068"
Talkoot,https://www.crunchbase.com/organization/talkoot-inc,$1B to $10B,Private,Active,,For Profit,Nov-50,"Talkoot develops a product information management platform for DTC brands. It combines AI-enabled product content automation with product information management, giving modern brands everything they need to get their product content to market faster.","Artificial Intelligence (AI), Collaboration, Enterprise Software, Management Information Systems, Product Management","Hood River, Oregon, United States",Talkoot develops a product information management platform for DTC brands.,"48,095"
Product Science,https://www.crunchbase.com/organization/product-science,$1B to $10B,Private,Active,,For Profit,Nov-50,"Product Science increases product metrics for mobile applications and helps apps work faster by providing insights into key performance issues that impact user experience. It analyzes the code and actual runtime data to pinpoint performance issues. Its AI enables them to do it more efficiently by providing unique insights for data visualizations to help mobile developers identify the problem right away.  The company's integrated development environment tools and plugins display video recordings of apps alongside performance traces, providing insights into what's going on behind the screen. Product Science was founded in 2021 and is based in Los Angeles, California.","Analytics, Artificial Intelligence (AI), Big Data, Mobile Apps, Software","Los Angeles, California, United States",Product Science is a performance management platform that helps improve mobile performance of apps.,"48,236"
Analyticalways,https://www.crunchbase.com/organization/analyticalways,$1B to $10B,Private,Active,,For Profit,101-250,"SAAS with Artificial Intelligence that increases sales up to 25% and reduces overstock up to 40% Our artificial intelligence help Retailers to achieve a more efficient omnichannel stock by reducing lost sales and eliminating overstocks Retail Tech, Invetory Management, Sustainability, Data Science, AI, Replenishment, Purchases, Transfers, Merchandise Planning.","Artificial Intelligence (AI), Consulting, Information Technology, Machine Learning, Predictive Analytics, Retail, Retail Technology, SaaS","Madrid, Madrid, Spain",The Retail ROIvolution: Artificial Intelligence that increases your sales up to 25% and reduces your stock up to 40%.,"48,937"
Couple,https://www.crunchbase.com/organization/couple-ae46,$1B to $10B,Private,Active,,For Profit,Nov-50,"Couple.ai is an online dating platform that combines live interactivity with AI-driven matchmaking. Instead of traditional profiles and swipes, users engage in interactive online events with speed dating, trivia, and live shows. Our AI learns from these interactions, delivering high-quality, compatible matches.","Artificial Intelligence (AI), Dating, Information Technology, Machine Learning, Social","Basking Ridge, New Jersey, United States",Couple.ai is an online dating platform that combines live interactivity with AI-driven matchmaking.,"49,379"
Avora,https://www.crunchbase.com/organization/avora,$1B to $10B,Private,Active,,For Profit,51-100,"We help everyone work smarter.   By removing unnecessary boundaries and giving everyone access to insights, we help people accelerate decision making and drive positive change, every day. Avora provides a complete augmented analytics solution powered by AI that makes in-depth data analysis as easy as a web search. Our unique technology hides complexity, empowering non-technical users to easily run and share their own reports. By eliminating the limitations of existing analytics, reducing data preparation and discovery time by 50-80%, and accelerating time to insight to just a matter of minutes rather than days, Avora uses Machine Learning to improve business insight, accuracy and performance. Headquartered in London with offices in New York and Romania, Avora helps accelerate decision making and productivity for customers across a range of industries and markets, including Retail, Financial Services, Advertising, Supply Chain and Media and Entertainment.","Analytics, Artificial Intelligence (AI), Business Intelligence, Cloud Data Services, Data Visualization, Machine Learning, SaaS","London, England, United Kingdom",Avora provides a complete augmented analytics solution powered by AI that makes in-depth data analysis as easy as a web search.,"50,139"
Tercero Technologies,https://www.crunchbase.com/organization/tercero-technologies,$1B to $10B,Private,Active,,For Profit,10-Jan,"Tercero Technologies is a Chicago-based artificial intelligence company focused on edge AI software and hardware research, development, and integration for intelligent sensors and autonomous vehicles.","Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Field-Programmable Gate Array (FPGA), Hardware, Machine Learning, Software","Chicago, Illinois, United States",Advanced Edge Artificial Intelligence,"50,688"
